label,n,d,T,j,est,true,bias,q0,q1,bstd,covered,singleW,time
ours,100,3,10,0,0.08405043660495129,0.06479648110442306,0.019253955500528233,-0.0685470811919825,0.20590977563142324,0.07125758831591647,True,False,50075.327996730804
ours,100,3,10,0,0.20072001268977332,0.06479648110442306,0.13592353158535025,0.08426315706178886,0.32377218793589174,0.06292863974591144,False,False,50075.327996730804
ours,100,3,10,0,0.2101624054812342,0.06479648110442306,0.14536592437681112,0.11673243834824441,0.3323109461139076,0.05863355648469997,False,False,50075.327996730804
ours,100,3,10,0,0.13176045071617667,0.06479648110442306,0.06696396961175362,-0.008696643405408459,0.24448924797986774,0.07337431901226224,True,False,50075.327996730804
ours,100,3,10,0,-0.03931467215472264,0.06479648110442306,-0.10411115325914569,-0.17444730214602452,0.0781300325544436,0.06031362603477663,True,False,50075.327996730804
ours,100,3,10,0,0.06585072210518017,0.06479648110442306,0.001054241000757114,-0.02245514040950575,0.17222403091518718,0.05395257216014621,True,False,50075.327996730804
ours,100,3,10,0,-0.027293107552682917,0.06479648110442306,-0.09208958865710598,-0.15653637248260965,0.06830039207856137,0.06312071118350693,True,False,50075.327996730804
ours,100,3,10,0,0.07008593826791827,0.06479648110442306,0.005289457163495215,-0.0499558535246097,0.1658769394423718,0.05614141988880551,True,False,50075.327996730804
ours,100,3,10,0,0.08642275545793121,0.06479648110442306,0.021626274353508154,-0.06152269429471022,0.24709906409953786,0.08022823781069101,True,False,50075.327996730804
ours,100,3,10,0,0.1239581835977593,0.06479648110442306,0.05916170249333624,0.007924678316589535,0.25692187991707616,0.07227579904108387,True,False,50075.327996730804
ours,100,3,10,0,0.1253045736250881,0.06479648110442306,0.06050809252066504,0.006595578635267263,0.2755981613001441,0.07151030712313297,True,False,50075.327996730804
ours,100,3,10,0,-0.012728557894045164,0.06479648110442306,-0.07752503899846822,-0.156129075328461,0.11622565111029075,0.0739054899553813,True,False,50075.327996730804
ours,100,3,10,0,-0.02202603945856187,0.06479648110442306,-0.08682252056298492,-0.13252084361908184,0.11333077712403292,0.0668808553639208,True,False,50075.327996730804
ours,100,3,10,0,0.08958567934478674,0.06479648110442306,0.024789198240363686,-0.03499383277222469,0.20134344398669216,0.0659141214143812,True,False,50075.327996730804
